,Sheep,Image,MinDist,IFDist
312,15,82,102.38430149075062,184.76882971408222
313,15,83,136.03110578946516,216.1697200271836
314,15,42,140.41483076222823,220.54202353847342
315,15,16,120.3222126065132,246.44219747710966
316,15,123,194.04750928037257,247.8602843061794
317,15,108,110.463161126009,191.40852481906052
318,16,9,130.7180504858363,177.20339152713683
319,16,44,70.13225709438679,159.08994935603945
320,16,71,187.4153209316069,226.21391890388387
321,16,72,116.94577444842199,165.18089850226096
322,16,46,67.68186921214269,185.5037650894607
323,16,22,51.34395780550149,160.4772496806777
324,16,111,43.64175636085954,149.35361151087153
325,16,75,106.52136368657813,172.3834580100142
326,16,112,83.06037260399515,166.66672964106775
327,16,33,106.72557658540403,182.05523836327035
328,16,76,145.8331822678185,194.0731895345634
329,16,8,89.77481060250489,172.24367405979336
330,16,74,62.53982776783671,163.02308491360247
331,16,57,46.754739205717385,155.5115506455728
332,16,86,61.07470885559552,153.45054862250126
333,16,73,116.64775524902592,192.56955952054528
334,16,21,135.73167388576792,197.02316675320208
335,16,34,91.93021434634889,201.43288445934576
336,16,103,62.06936390853362,169.4981343357038
337,17,44,119.76744587759143,200.32244787139803
338,17,46,126.61484538381008,190.6797529909335
339,17,74,113.77717009012437,192.2105397174273
340,17,65,57.3350578749291,149.40420628209188
341,17,89,54.79147194449088,158.5075165313395
342,17,136,89.95021142576793,172.78287111951224
343,17,91,82.90374891225518,200.06626173949164
344,17,111,139.5492916733315,179.86834569709654
345,17,2,92.77004235799737,161.7751732202842
346,17,1,36.990724961055314,169.02972588100118
347,17,86,126.5127928674382,192.8846713148629
348,17,3,92.25592211099905,168.0184515445631
349,17,123,104.66487797821337,184.52906929548402
350,17,100,116.85522499751278,185.97628699374673
351,17,135,85.84643584682938,154.01805703859574
352,17,122,128.55279635294787,199.78429949054527
353,17,88,81.34018418561094,184.44242349543626
354,17,124,130.1418956783756,198.4683383122307
355,17,45,138.59678275780664,198.45783981178624
356,17,75,50.75070001289821,160.86359619764715
357,17,109,85.20420740780294,170.17080702318066
358,17,87,85.97964097864222,176.85619192194042
359,17,43,124.71101761869643,177.87580916017404
360,17,90,31.221041275862905,161.64615170718508
361,17,30,89.98166506815747,163.60724256582736
362,17,121,100.90770872116468,201.19997685011768
363,17,27,175.21481392517313,202.2595672120439
364,18,69,78.88370714822614,155.54276184598922
365,18,12,89.6993667647026,160.51451461931816
366,18,68,123.94168871944531,164.24194363528161
367,18,96,74.14785834041699,161.5121328377835
368,18,97,69.8182545934483,157.54845925151858
369,18,1,65.28377808687267,181.1988641113675
370,18,95,118.22872885987087,211.95547521133327
371,18,45,79.94878074791541,177.69330564590464
372,18,46,91.3181250971835,168.12691712721127
373,18,58,119.86372112310072,198.9494154177827
374,18,24,125.02819733235573,182.06299577061282
375,19,110,87.01512479838549,154.19042218092665
376,19,111,110.63933531881408,219.1470041384233
377,19,100,90.73183326422293,192.2944384891558
378,19,3,15.532586570430025,218.94662578445218
379,19,1,36.78663801057471,179.9812870618984
380,19,6,106.61294201068466,166.7858196047598
381,19,58,108.8703191155045,179.18453097356235
382,19,30,106.63052336973612,178.11146163845783
383,19,33,75.68933049075879,178.8068662393851
384,19,97,91.24834286796117,166.30376407194197
385,19,31,95.19653930098609,172.40129775696514
386,19,5,105.3966164459025,191.28272785636898
387,19,19,87.48915555842869,195.7871783599473
388,19,86,70.2449049459775,238.7375792432996
389,19,122,65.62235179330098,172.4488714523723
390,19,18,59.97038228980823,192.92305382666447
391,19,47,173.52929655760113,290.15473795776467
392,19,4,107.0528827304885,173.10687184677408
393,19,44,317.4482945468295,368.62994693441476
394,19,48,48.2129693381353,230.7077776543398
395,19,59,171.35665983574626,268.36813840075854
396,19,60,159.2238860263719,282.39667668372374
397,19,70,216.51011528331634,270.90357720247374
398,19,2,89.06124562588245,202.53106820486525
399,19,20,106.21456145115282,206.9286080712582
400,19,71,65.8228783865031,221.56486004641496
401,19,84,45.87204329899222,174.53202291281903
402,19,112,129.79305837737988,214.95742267411444
403,19,124,86.18377701357157,212.16264619664412
404,19,98,86.97750418881765,205.55113088959908
405,19,125,112.92434737959974,174.3301927095814
406,19,109,85.92976318997236,206.43285148033507
407,19,85,116.96572074948779,177.31456160534609
408,19,61,106.59986379595331,196.25538697126532
409,19,72,85.50462095974089,221.05767696763442
410,19,99,96.92270873195389,182.55609243678163
411,19,46,11.632664848663877,159.1174155492312
412,19,34,142.95076935207038,227.29233919848164
413,19,87,92.27330874159414,166.14114353182788
414,19,17,157.31535042977538,215.99680928660848
415,19,123,118.75646204089665,172.65188533250063
416,19,45,150.91048560123872,285.8197155769212
417,19,134,72.06171407704846,201.86007046623212
418,19,135,125.53930485634743,170.46755019427306
419,19,73,102.09123168252763,245.63675192312954
420,20,114,144.34032724296287,203.08649238200138
421,20,102,72.32559255149846,158.0985853307729
422,20,40,48.252062980273784,198.19506271324806
423,20,65,89.20670296378687,198.02608965189944
424,20,103,113.32009158434975,193.8794988960278
425,20,1,63.93622212744685,161.0080920223993
426,20,90,105.0944597705842,176.81929300360045
427,20,76,150.86789242615112,227.5479520674672
428,20,13,108.52873342394983,201.7985405012423
429,20,39,8.793242354849053,137.69392592156203
430,20,89,57.22005293575437,146.70325365261505
431,20,15,128.7229866798674,208.7516363343669
432,20,77,121.55960045065126,176.9933586845176
433,20,64,55.031052648548645,157.28583126699993
434,21,28,60.401831694132404,224.2203363623739
435,21,55,213.2562616988638,265.55320734509564
436,21,91,198.94929389529048,244.32831826152454
437,21,56,141.1536793985205,200.92397833992848
438,21,29,41.72589079063518,159.62373170103496
439,21,41,69.3860179844926,182.32490123311385
440,21,68,11.943602223660218,156.6977602669725
441,21,113,66.23832970861352,179.44625276240092
442,21,1,138.61788500355058,201.9923767116161
443,21,42,64.65546916218013,161.59612324182368
444,21,2,141.04267754877068,229.78460308825296
445,21,3,137.1520356858578,208.38092759528527
446,21,83,112.69934830561452,214.08199774824638
447,21,114,122.83826202100971,184.67036321940384
