,Sheep,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size,Unnamed: 0,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
66,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,80.0,59.0,0.13205223794347193,0.5807401565693349,13.0,2209.923076923077,35.0,0.2463959353791477,0.3483542275147572,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
67,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,81.0,32.0,0.10166358568075892,0.6034737824861999,10.0,863.7,33.0,0.15110034463844654,0.34911397008589595,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
68,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,82.0,145.0,0.10206830279659088,0.6235785125712643,15.0,855.6666666666665,29.0,0.1838660142943362,0.3921106528631148,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
69,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,83.0,46.0,0.083552369699997,0.6094449070575595,4.0,363.5,31.0,0.1232778154152763,0.3541550828625485,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
70,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,84.0,102.0,0.08186781145788308,0.6196976078653371,10.0,487.5,31.0,0.19155474125053631,0.3688303243052757,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
71,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,85.0,91.0,0.14257254988879467,0.5936467324183667,10.0,775.6,31.0,0.13505827555857994,0.35336631870732343,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
72,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,86.0,57.0,0.09186668975002148,0.6145352761891495,10.0,1055.7,31.0,0.2491791800172072,0.3635913648847161,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
73,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,87.0,1.0,0.0936209743839151,0.5973746561642191,7.0,719.4285714285713,33.0,0.18621417074189048,0.3382521375222763,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
74,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,88.0,58.0,0.09322651498048083,0.5997688499664613,13.0,871.2307692307692,33.0,0.16633928403416304,0.3381513957404312,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
75,6.0,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6,89.0,143.0,0.13678486068804938,0.5730834681644885,5.0,1738.4,31.0,0.16997858607182792,0.3247767664194457,BR071,1/3/2012,Soay,6886.0,2.0,3.0,30.9,130.0,191.0
