,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
3043,114,91,0.06638173025284033,0.6465934372341279,6,422.83333333333326,33,0.14244356102689468,0.4155752395071923,BG138,26/02/12,Soay,8343,1,0.0,,,
3044,114,4,0.062377039616070024,0.6432496978441207,11,567.0909090909091,33,0.2598803783100546,0.40035399996928417,BG138,26/02/12,Soay,8343,1,0.0,,,
3045,114,18,0.07592575682189515,0.6467287081639783,6,335.1666666666667,31,0.26503468059360946,0.4231941567518663,BG138,26/02/12,Soay,8343,1,0.0,,,
3046,114,121,0.07063377970587978,0.6472070900783081,6,610.8333333333334,33,0.28531630220564563,0.4246138228217758,BG138,26/02/12,Soay,8343,1,0.0,,,
3047,114,62,0.08092455816566749,0.6365450931914907,7,825.2857142857142,31,0.12174680665446205,0.4091144888701669,BG138,26/02/12,Soay,8343,1,0.0,,,
3048,114,16,0.0700344609509667,0.6450102926481223,12,392.16666666666674,33,0.24599336567374694,0.4189820083218077,BG138,26/02/12,Soay,8343,1,0.0,,,
3049,114,1,0.08192433485756903,0.6334084596077507,17,655.0,33,0.19490267369469708,0.3951538218344358,BG138,26/02/12,Soay,8343,1,0.0,,,
3050,114,35,0.08849358390919991,0.6361248968125742,7,824.2857142857142,33,0.2406222090433653,0.4217397603811032,BG138,26/02/12,Soay,8343,1,0.0,,,
3051,114,61,0.06400762125830604,0.6375413641691323,9,670.1111111111112,33,0.2530166691180249,0.3863806143692948,BG138,26/02/12,Soay,8343,1,0.0,,,
3052,114,79,0.09028353211353388,0.6358483529283234,4,493.75,31,0.2535306854353533,0.4115551457894929,BG138,26/02/12,Soay,8343,1,0.0,,,
3053,114,125,0.06299212502609908,0.6472317755752173,7,947.7142857142856,31,0.2552782488420832,0.4088771147325759,BG138,26/02/12,Soay,8343,1,0.0,,,
3054,114,47,0.09554396509839017,0.6316631990626562,11,693.1818181818181,31,0.15610074301078236,0.41545759509935337,BG138,26/02/12,Soay,8343,1,0.0,,,
3055,114,34,0.08625368227187387,0.6326823645450531,20,477.65,31,0.1596452412562295,0.4019161184538604,BG138,26/02/12,Soay,8343,1,0.0,,,
3056,114,77,0.06640947654163952,0.644689824520509,1,636.0,33,0.3597041011271925,0.4114983116889199,BG138,26/02/12,Soay,8343,1,0.0,,,
3057,114,78,0.07985395070595465,0.6409096403014591,4,313.0,31,0.28926050058047226,0.4093148598094797,BG138,26/02/12,Soay,8343,1,0.0,,,
3058,115,139,0.12366836758338602,0.6232417885879915,2,397.5,29,0.09681685903846872,0.435782781405996,AO526,19/02/12,Soay,4628,1,10.0,,,
3059,115,76,0.11210606895115537,0.6258513765956641,0,,29,0.12141380680730815,0.4163822427129285,AO526,19/02/12,Soay,4628,1,10.0,,,
3060,115,79,0.13785619467307958,0.614664970196811,1,419.0,29,0.19966571289208285,0.4114606119151293,AO526,19/02/12,Soay,4628,1,10.0,,,
3061,115,78,0.12332671547639405,0.619112379895709,5,492.4,29,0.12498370316962415,0.4158911644811159,AO526,19/02/12,Soay,4628,1,10.0,,,
3062,115,65,0.10399363270149264,0.6248944029092307,4,475.25,31,0.16712107141892885,0.3904367167367255,AO526,19/02/12,Soay,4628,1,10.0,,,
3063,115,48,0.13434080964061376,0.6203107887080739,3,642.3333333333334,29,0.09920756731813718,0.4345773645579827,AO526,19/02/12,Soay,4628,1,10.0,,,
3064,115,91,0.07518919295890042,0.631953972856047,7,442.71428571428567,33,0.1979026037574303,0.3892786810998606,AO526,19/02/12,Soay,4628,1,10.0,,,
3065,115,17,0.10078668511774562,0.631354814629826,10,937.9,29,0.062398616810002375,0.4139334211452734,AO526,19/02/12,Soay,4628,1,10.0,,,
3066,115,20,0.10029608320657334,0.624324974062364,5,680.4,31,0.08830513300310756,0.40304566175213896,AO526,19/02/12,Soay,4628,1,10.0,,,
3067,115,35,0.11933562384779205,0.6254447455548661,3,545.0,29,0.14800038205789634,0.4343929942304646,AO526,19/02/12,Soay,4628,1,10.0,,,
3068,115,4,0.09923144193880117,0.6284792632901431,2,593.5,31,0.03479505164605838,0.4102215046274311,AO526,19/02/12,Soay,4628,1,10.0,,,
3069,115,94,0.10160705136351904,0.6262210214541708,7,1495.142857142857,31,0.09195339788552802,0.4010261795755259,AO526,19/02/12,Soay,4628,1,10.0,,,
3070,115,64,0.09887816869655652,0.6293454371635558,6,504.16666666666674,31,0.035561638146307764,0.418502921314212,AO526,19/02/12,Soay,4628,1,10.0,,,
3071,115,50,0.1134419130585134,0.6257996530147436,4,820.75,29,0.12636046395096884,0.4248246650753046,AO526,19/02/12,Soay,4628,1,10.0,,,
3072,115,31,0.13448233134344126,0.6214720754948944,4,715.0,31,0.09444301664158247,0.4493560310088409,AO526,19/02/12,Soay,4628,1,10.0,,,
3073,115,80,0.07555531870690686,0.640113443396152,6,423.0,33,0.21012056086104366,0.4082431352437922,AO526,19/02/12,Soay,4628,1,10.0,,,
3074,115,110,0.10774144116996312,0.62785979518238,9,974.5555555555555,31,0.1208815193122052,0.4231591603079509,AO526,19/02/12,Soay,4628,1,10.0,,,
3075,115,16,0.1083048854529498,0.6233502122090359,7,940.7142857142856,33,0.0664501422048101,0.4051111836901731,AO526,19/02/12,Soay,4628,1,10.0,,,
3076,115,5,0.1180720453266854,0.6239770885021467,3,842.3333333333335,31,0.11229933944511407,0.4189286921522848,AO526,19/02/12,Soay,4628,1,10.0,,,
3077,115,111,0.1103412208307782,0.6202951157870935,4,408.5,29,0.1551403817136157,0.3935933740171387,AO526,19/02/12,Soay,4628,1,10.0,,,
