,Sheep,Image,Count,meanSize,stdSize
588,27,86,11,1327.090909090909,1053.4449508459422
589,27,49,13,1370.6153846153845,1171.2434903167946
590,27,101,9,2344.0,2130.6637463476022
591,27,16,8,2756.5,1898.3180054985519
592,27,121,15,1244.1333333333334,764.4826456863202
593,27,85,12,1273.9166666666667,911.3388007334166
594,27,109,7,1832.7142857142858,1773.931365582084
595,27,20,9,1507.6666666666667,991.6484592166049
596,27,120,6,2633.1666666666665,2787.779547517263
597,27,99,15,1207.6666666666667,760.988363175738
598,27,17,12,1284.6666666666667,952.431566512203
599,27,39,15,1806.3333333333333,1258.6076787024974
600,27,19,13,1086.4615384615386,602.1524999002285
